,Usuario,Nombre,Fecha,Tweet,RT,like,path,verificados
702,@_geoengineering,GeoEngineering,17 mar. 2017,"IF UR SCARED...
Just Say ur Scared.
#GeoEngineering
#Fukushima
#Fluoride
#Monsanto
#GMO
#SmartMeters
#Vaccine
#NWOpic.twitter.com/QuMQ8ncc19",58,65,/_geoengineering/status/842588381502570497,
703,@heru41,keith hunter,17 mar. 2017,Why would anybody support a Depopulationist #BillGates #GMO & #Vaccine agenda >>> pic.twitter.com/qJx5Ze7Ij3,0,1,/heru41/status/842553703437623297,
704,@ConradKnauer,Conrad Knauer,15 mar. 2017,"""Think about what a scary world [antis] live in.""
Just as true if subst. #Nuclear or #GMO for #Vaccine
Pro BTW? you ""must all be shills"" ;p https://twitter.com/emilskeptic/status/842095627014156290 …",0,0,/ConradKnauer/status/842158173377187840,
705,@ineptator,Craig Chermside,14 mar. 2017,Obama care not helping but it's more the fluoride vaccine s gmo msg etc not to mention ssri drugs,0,0,/ineptator/status/841746755884523520,
706,@cc_candycane,candice cane,14 mar. 2017,1) What yrs does graph represent 2) How many vaccinations taken compared 2 US 3) What's their GMO consumption?,0,0,/cc_candycane/status/841647227202392064,
707,@GarionCoyote,Garion Coyote,14 mar. 2017,"I do NOT accept ANY racists, animal haters, #GMO promoters or #vaccine peddlers on my account. You violate this rule and you're OUT!",0,0,/GarionCoyote/status/841594161111420928,
708,@schitzoziris,Gregory J O'Flaherty,14 mar. 2017,In Australia we get told a Genetically Modified Cholera Virus is a Vaccine... http://fb.me/6heNlHwqf,0,0,/schitzoziris/status/841559117735043073,
709,@cindynsg,Cindy Conry,14 mar. 2017,"Made with GMO'S! Antibiotic, vaccine infested eggs bec they can't keep the crowded chickens alive otherwise. https://twitter.com/Hellmanns/status/836686256717234177 …",0,0,/cindynsg/status/841441593420836864,
710,@BrockXerox,Brock Xerox,13 mar. 2017,Um no they wont because we will use WHO to give a sterilization vaccine to all muslims . @POTUS  genetically modified muslims @bbc https://twitter.com/PoliticsDark/status/841326663732355073 …,0,0,/BrockXerox/status/841390670363394048,
711,@bouleg812,Indépendant,13 mar. 2017,Saying those who dispute #vaccine & #GMO safety are science deniers reveals ignorance of science & misplaced trust in #Monsanto & #BigPharma,0,0,/bouleg812/status/841353133498519552,
712,@queenAyacodoba1,queen Ayacodobae,13 mar. 2017,"Missing children, drones killling innocent people, mass incarcerations, forced dangerous vaccinations, GMO, wicked!
https://plus.google.com/u/0/111730824746045759051/posts/RgTnPWtRALZ …",0,0,/queenAyacodoba1/status/841337276114321410,
713,@SilenceNotGold,Kerry Fleming Erle,13 mar. 2017,"""Bought"" Doc Exposes Hidden Story Behind #Vaccine #BigPharma #GMO Food Industries http://articles.mercola.com/sites/articles/archive/2014/11/08/bought-documentary-vaccine-food-healthcare.aspx … via @mercola",0,0,/SilenceNotGold/status/841329874035970048,
714,@StandWithWeston,AreVaccinesSafe.org,12 mar. 2017,"A great site for Chemtrail skeptics!
Chemtrai'ls / GMO's / Vaccine's are all weapons of mass destruction designed... http://fb.me/1ME1xyw6s",0,0,/StandWithWeston/status/841037078565609473,
715,@CitizenoftheWo4,CitizenoftheWorld,12 mar. 2017,"@oatcake1967 also Could force them 2 eat 100% #GMO, inject them with every #vaccine that exists & just wait, see what happens..",1,1,/CitizenoftheWo4/status/840999877291134976,
716,@KarenBezir1985,Karen B,12 mar. 2017,fuck you your vaccine and bill gates my kid won't get it ever never did I get it or sibling were good stop gmo and bullshits,0,0,/KarenBezir1985/status/840994496691093504,
717,@Livi_We_Trust,Wokémon Trainer,12 mar. 2017,"Mike, you're trying to insert your personal bias into a field you're not in
GMO , vaccine, and energy research are influenced by economics https://twitter.com/PostTweetism/status/840939232520617984 …",0,1,/Livi_We_Trust/status/840940127534878722,
718,@_Awake_Soul_,Bob,12 mar. 2017,"vaccinations, fluoride, pollution, GMO, some of the other ways for them to push depopulation",0,0,/_Awake_Soul_/status/840931819088445440,
719,@data__venia,Matthew James,12 mar. 2017,@deplorable_ron What if you received genetically modified vaccine via a plastic syringe,0,0,/data__venia/status/840777899452035072,
720,@ineptator,Craig Chermside,11 mar. 2017,don't worry about the fake media lots of us love you vaccine s fluoride gmo etc is poison keep it up,0,0,/ineptator/status/840693601801707521,
721,@bgala1971,Becky Gala,11 mar. 2017,"Truthfully health care is a joke.. Globalists ...Big Farma, AMA, FDA are poisoning us...vaccine's, chem spraying, GMO's etc.",0,0,/bgala1971/status/840667748325715968,
722,@queenAyacodoba1,queen Ayacodobae,11 mar. 2017,"What miracles can stop GMO, fracking, Chemtrails, killer vaccinations, man made diseases, poverty, Oil digs, nuclear weapons, pollution? OMG https://twitter.com/BiologistDan/status/840363327406649348 …",0,0,/queenAyacodoba1/status/840436697435385856,
723,@ImFaraday,Faraday,10 mar. 2017,KnowTheRealEnemies #GeorgeSoros #DavidRockefeller #BillderbergGroup #Geoengineerjng #GMO #BillGates #Vaccinations #TheLyingMedia,2,3,/ImFaraday/status/840317035103977472,
724,@emortal_the,Tamra,10 mar. 2017,"How are Vaccinations,Chemtrails,Morgellon,GMO and Transhumanism Connected - YouTube https://m.youtube.com/watch?v=2qc87fj2s3M …",0,0,/emortal_the/status/840271697903140865,
725,@AnaFelisaGL,Ana V.  🌺,10 mar. 2017,"I could've chosen GMO's, vaccinations, recycling, but I decided to go with the one that matters the most",0,0,/AnaFelisaGL/status/840239968144490496,
726,@42Gnome,The Gnome  💙 💚,9 mar. 2017,also the genetically Modified Organisms used to grow our produce along with round up. Processes foods AND GMOs in vaccinations,0,0,/42Gnome/status/839937630322073600,
727,@lisa_alba,🌹spirito ✨di ✨libertà,8 mar. 2017,"i do not envy young parents today,they have a tough job with vaccine toxins gmo ""food"" subversion of their children at school",0,0,/lisa_alba/status/839522837325045761,
728,@kmillspaysbills,Katie,8 mar. 2017,"Then there's the vaccine program, GMO protection, geoengineering, they want the guns, pope says don't reproduce. Eh, think they want us dead",0,0,/kmillspaysbills/status/839315771121668096,
